Step 192, e:2, x:389, y:347, Plot(389,347)
Step 193, e:96, x:390, y:346, Plot(390,346)
Step 194, e:190, x:391, y:345, Plot(391,345)
Step 1, e:9, x:275, y:297, Plot(275,297)
Step 2, e:76, x:276, y:298, Plot(276,298)
Step 3, e:27, x:277, y:298, Plot(277,298)
Step 4, e:94, x:278, y:299, Plot(278,299)
Step 5, e:45, x:279, y:299, Plot(279,299)
Step 6, e:112, x:280, y:300, Plot(280,300)
Step 7, e:63, x:281, y:300, Plot(281,300)
Step 8, e:14, x:282, y:300, Plot(282,300)
Step 9, e:81, x:283, y:301, Plot(283,301)
Step 10, e:32, x:284, y:301, Plot(284,301)
Step 11, e:99, x:285, y:302, Plot(285,302)
Step 12, e:50, x:286, y:302, Plot(286,302)
Step 13, e:1, x:287, y:302, Plot(287,302)
Step 14, e:68, x:288, y:303, Plot(288,303)
Step 15, e:19, x:289, y:303, Plot(289,303)
Step 16, e:86, x:290, y:304, Plot(290,304)
Step 17, e:37, x:291, y:304, Plot(291,304)
Step 18, e:104, x:292, y:305, Plot(292,305)
Step 19, e:55, x:293, y:305, Plot(293,305)
Step 20, e:6, x:294, y:305, Plot(294,305)
Step 21, e:73, x:295, y:306, Plot(295,306)
Step 22, e:24, x:296, y:306, Plot(296,306)
Step 23, e:91, x:297, y:307, Plot(297,307)
Step 24, e:42, x:298, y:307, Plot(298,307)
Step 25, e:109, x:299, y:308, Plot(299,308)
Step 26, e:60, x:300, y:308, Plot(300,308)
Step 27, e:11, x:301, y:308, Plot(301,308)
Step 28, e:78, x:302, y:309, Plot(302,309)
Step 29, e:29, x:303, y:309, Plot(303,309)
Step 30, e:96, x:304, y:310, Plot(304,310)
Step 31, e:47, x:305, y:310, Plot(305,310)
Step 32, e:114, x:306, y:311, Plot(306,311)
Step 33, e:65, x:307, y:311, Plot(307,311)
Step 34, e:16, x:308, y:311, Plot(308,311)
Step 35, e:83, x:309, y:312, Plot(309,312)
Step 36, e:34, x:310, y:312, Plot(310,312)
Step 37, e:101, x:311, y:313, Plot(311,313)
Step 38, e:52, x:312, y:313, Plot(312,313)
Step 39, e:3, x:313, y:313, Plot(313,313)
Step 40, e:70, x:314, y:314, Plot(314,314)
Step 41, e:21, x:315, y:314, Plot(315,314)
Step 42, e:88, x:316, y:315, Plot(316,315)
Step 43, e:39, x:317, y:315, Plot(317,315)
Step 44, e:106, x:318, y:316, Plot(318,316)
Step 45, e:57, x:319, y:316, Plot(319,316)
Step 46, e:8, x:320, y:316, Plot(320,316)
Step 47, e:75, x:321, y:317, Plot(321,317)
Step 48, e:26, x:322, y:317, Plot(322,317)
Step 49, e:93, x:323, y:318, Plot(323,318)
Step 50, e:44, x:324, y:318, Plot(324,318)
Step 51, e:111, x:325, y:319, Plot(325,319)
Step 52, e:62, x:326, y:319, Plot(326,319)
Step 53, e:13, x:327, y:319, Plot(327,319)
